ProteinID
P00734
P00533
O75015
P00736
P02745
P02746
P02747
P08637
P09871
P12314
P12318
P31994
P31995
P01589
P14784
P31785
P01375
P20333
P01374
P35354
P05164
P30968
P48551
P17181
P00747
P02671
Q03405
P05121
Q02643
P19235
P00749
P00750
P05120
P05154
P98164
Q9Y5Y6
P14543
P22888
P30988
Q99062
P08246
P15509
P26951
P32927
P34741
P13727
P47872
P16473
P00742
P00740
P04275
O14832
P07307
P11021
P27797
P27824
P49257
Q07954
Q8NI22
P04070
P14778
P08183
Q92637
P01024
P0C0L4
P0C0L5
P01031
P06213
P08069
P06400
P07339
P14735
P16519
P16870
P29120
P48745
Q16270
Q96C24
P05177
P05452
P05787
P07355
P23945
P15260
P38484
P30518
P37288
P47901
P23219
P05981
P10646
P38435
P08709
P13726
Q14626
P21802
O14786
P11362
P22455
P22607
P98160
P47871
O95838
P43220
P47712
P08684
P47989
P05181
P63027
P23763
Q8N9I0
P12319
Q01362
O60603
P02452
P02458
P02461
P08123
P10912
P16471
P05106
P08514
P04004
P00451
P12259
P07204
P07225
P00450
P02776
P35237
Q9UNN8
P20138
P62993
P02649
P0DJI8
P02760
P11712
O60656
Q92887
P01137
P02768
P01906
P01920
P04626
P11511
P11836
P04234
P07766
P09693
P20963
Q02318
P15104
P33260
P06276
P33261
Q02928
P60880
P62745
P25116
P31358
Q04609
P49069
Q96LZ3
P62937
P30405
P24462
P20815
P10632
P10635
O15438
O95342
P33527
P46721
Q12908
Q14973
Q4U2R8
Q5T3U5
Q9UNQ0
Q9Y6L6
P06729
P20701
P06126
Q95460
P42081
P01730
P05556
P06756
P03951
P09619
P16234
P01023
P30872
P35346
P30874
P30559
P01178
P48147
P13612
P05362
P15692
P13688
Q9BYV1
Q99259
P35520
Q16719
P34896
Q9Y697
P17174
P04181
P11926
Q8N5Z0
P80404
Q9NVS9
O95470
P17735
Q16773
Q8IYQ7
P06737
O15270
Q9Y600
P19113
Q96A70
P20132
O75600
P23378
P24298
Q9Y617
P13196
P21549
Q96GD0
O15269
P32929
P54687
O15382
O94903
O95954
P00505
P11216
P11217
P20711
P34897
Q59FK2
Q5JAM2
Q5VZ30
Q6P996
Q6YP21
Q6ZQY3
Q96I15
Q6WRI0
Q8IUZ5
Q8IVA8
Q8TD30
Q96EN8
Q96GA7
Q96JQ3
Q9GZT4
Q9HD40
Q9NUV7
Q99707
P22033
Q9UBK8
Q8IVH4
Q9Y4U1
P42898
Q96EY8
Q9BXJ7
P20061
P20062
P27352
O60494
P11586
P13995
P48728
O75891
P31939
Q96DP5
P12081
Q99624
P42357
Q8TF71
Q14749
P17707
P31153
Q00266
P21964
P19623
O15427
P36021
O15375
P30613
O15403
O60669
P11177
P14618
O15374
O95907
P53985
P11498
Q92959
Q9UHI5
Q9Y285
P00439
O95363
Q9NSD9
P07101
P05166
P50747
Q9Y289
Q9HCC0
O00763
Q96RQ3
P05165
Q13085
Q16678
Q9Y5K3
P22303
P49585
O14939
Q13393
Q8TCT1
Q9Y6K0
Q9Y259
P28329
P35790
Q8NE62
O15244
O15245
O75751
O76082
Q9H015
Q8WWI5
Q53GD3
Q8IWA5
Q8N4M1
Q9GZV3
P30825
O43246
Q8WY07
P52569
Q15046
P29474
P04424
P35228
P78540
P00966
P09848
O00469
O60568
O75936
P09172
P19021
P13674
Q32P28
Q6N063
Q6NS38
Q8IVL5
Q8IVL6
Q8N543
Q96KS0
Q96Q83
Q9BY66
Q9GZT9
Q9UHI7
Q02809
Q9H6Z9
Q9NVH6
Q9NXG6
P52788
Q9NWM0
P21673
Q96F10
P07998
P61626
Q9UJS0
P45381
P08243
Q03154
P14868
O75746
Q12797
P22234
P27708
P30520
P43005
Q5T6L4
Q6PI48
Q7L266
Q8N142
Q96HD9
P00480
P05089
P54368
Q9BXI2
Q9Y619
O95190
P50440
Q9UMX2
P17812
Q06203
P00488
O94925
Q9UI32
P21980
O43548
O95932
P22735
P49221
Q08188
Q96PF1
P49915
O15067
O75879
O94808
P47897
Q6IA69
Q15758
P16220
P11309
Q07343
Q9Y478
P49773
Q08499
Q9NUB1
Q9NR19
Q13131
O43741
Q08828
P33121
P09467
P55263
P23109
P07741
O60427
O95864
P32418
Q8NER1
Q9GZR5
O15540
P49591
P50579
Q93088
Q9H2M3
Q9Y3D2
Q9NZV6
Q9UJ68
P56192
Q96GW9
Q9NZL9
Q9Y2Z4
P54577
P11473
Q07973
Q9UPY5
O60931
P82251
Q07837
Q99643
Q9BXA5
Q9BYC2
Q9P2R7
Q9UBX3
P31040
O14756
Q8WWT9
Q13183
Q9BZW2
Q96I99
O14521
O15460
P21912
P51649
P53597
P55809
Q8TCC7
Q969G6
P0AFU8
P30043
P21397
O60512
O60513
O60909
Q9UJ70
Q9UK23
P54802
P51606
P15291
Q13255
Q14833
Q16099
Q16478
Q14831
O00222
O00341
O14841
O15399
O43424
O60391
P07814
P43003
P43004
P48506
P48664
P49448
Q05586
Q05932
Q07075
Q12879
Q13224
Q14957
Q5JPH6
Q5TDP6
Q8N159
Q8TCU5
Q9H1K4
Q9H936
Q9UDR5
Q9ULA0
Q9ULK0
Q9Y646
P00367
P39086
P42261
P48507
Q05329
P42262
P42263
P48058
P54886
Q13002
Q13003
O14880
O60760
O95881
P08263
P09210
P10620
P10768
P19440
P28161
P35754
P36969
P46439
P59796
Q16775
Q8TED1
Q96SL4
Q99735
Q9H4Y5
Q9NS18
Q04760
Q16873
P00390
P48637
P09488
Q9Y2Q3
Q16772
P21266
O15217
Q03013
Q7RTV2
P09211
P78417
P07203
P18283
P30711
O43708
O75715
P22352
O15439
O15440
P49619
Q16760
