pubmed_ids,drugbank_id,uniprot_id
15659493,DB00073,O75015
16109421,DB00073,O75015
16825493,DB00073,O75015
17475906,DB00073,O75015
17139284,DB00074,O75015
17016423,DB00074,O75015
10851527,DB00075,O75015
10851498,DB00075,O75015
17139284,DB00078,O75015
17016423,DB00078,O75015
17139284,DB00081,O75015
17016423,DB00081,O75015
9337053,DB00087,O75015
8707338,DB00087,O75015
9020367,DB00087,O75015
11970990,DB00092,O75015
17139284,DB00095,O75015
17016423,DB00095,O75015
17139284,DB00108,O75015
17016423,DB00108,O75015
17139284,DB00110,O75015
17016423,DB00110,O75015
1835892,DB00111,O75015
2335478,DB00111,O75015
8097750,DB00111,O75015
2415663,DB00111,O75015
1900882,DB00111,O75015
17139284,DB00112,O75015
17016423,DB00112,O75015
17139284,DB00002,P00736
17016423,DB00002,P00736
17139284,DB00005,P00736
17016423,DB00005,P00736
17139284,DB00051,P00736
17016423,DB00051,P00736
17139284,DB00054,P00736
17016423,DB00054,P00736
17139284,DB00056,P00736
17016423,DB00056,P00736
17139284,DB00072,P00736
17016423,DB00072,P00736
17139284,DB00073,P00736
17016423,DB00073,P00736
17139284,DB00074,P00736
17016423,DB00074,P00736
17139284,DB00075,P00736
17016423,DB00075,P00736
17139284,DB00078,P00736
17016423,DB00078,P00736
17139284,DB00081,P00736
17016423,DB00081,P00736
17139284,DB00087,P00736
17016423,DB00087,P00736
17139284,DB00092,P00736
17016423,DB00092,P00736
17139284,DB00095,P00736
17016423,DB00095,P00736
17139284,DB00108,P00736
17016423,DB00108,P00736
17139284,DB00110,P00736
17016423,DB00110,P00736
17139284,DB00111,P00736
17016423,DB00111,P00736
17139284,DB00112,P00736
17016423,DB00112,P00736
17139284,DB00002,P02745
17016423,DB00002,P02745
17139284,DB00005,P02745
17016423,DB00005,P02745
17139284,DB00051,P02745
17016423,DB00051,P02745
17139284,DB00054,P02745
17016423,DB00054,P02745
17139284,DB00056,P02745
17016423,DB00056,P02745
17139284,DB00072,P02745
17016423,DB00072,P02745
17139284,DB00073,P02745
17016423,DB00073,P02745
12874252,DB00073,P02745
17139284,DB00074,P02745
17016423,DB00074,P02745
17139284,DB00075,P02745
17016423,DB00075,P02745
17139284,DB00078,P02745
17016423,DB00078,P02745
17139284,DB00081,P02745
17016423,DB00081,P02745
17139284,DB00087,P02745
17016423,DB00087,P02745
17139284,DB00092,P02745
17016423,DB00092,P02745
17139284,DB00095,P02745
17016423,DB00095,P02745
17139284,DB00108,P02745
17016423,DB00108,P02745
17139284,DB00110,P02745
17016423,DB00110,P02745
17139284,DB00111,P02745
17016423,DB00111,P02745
17139284,DB00112,P02745
17016423,DB00112,P02745
17139284,DB00002,P02746
17016423,DB00002,P02746
17139284,DB00005,P02746
17016423,DB00005,P02746
17139284,DB00051,P02746
17016423,DB00051,P02746
17139284,DB00054,P02746
17016423,DB00054,P02746
17139284,DB00056,P02746
17016423,DB00056,P02746
17139284,DB00072,P02746
17016423,DB00072,P02746
17139284,DB00073,P02746
17016423,DB00073,P02746
17139284,DB00074,P02746
17016423,DB00074,P02746
17139284,DB00075,P02746
17016423,DB00075,P02746
17139284,DB00078,P02746
17016423,DB00078,P02746
17139284,DB00081,P02746
17016423,DB00081,P02746
17139284,DB00087,P02746
17016423,DB00087,P02746
17139284,DB00092,P02746
17016423,DB00092,P02746
17139284,DB00095,P02746
17016423,DB00095,P02746
17139284,DB00108,P02746
17016423,DB00108,P02746
17139284,DB00110,P02746
17016423,DB00110,P02746
17139284,DB00111,P02746
17016423,DB00111,P02746
17139284,DB00112,P02746
17016423,DB00112,P02746
17139284,DB00002,P02747
17016423,DB00002,P02747
17139284,DB00005,P02747
17016423,DB00005,P02747
17139284,DB00051,P02747
17016423,DB00051,P02747
17139284,DB00054,P02747
17016423,DB00054,P02747
17139284,DB00056,P02747
17016423,DB00056,P02747
17139284,DB00072,P02747
17016423,DB00072,P02747
17139284,DB00073,P02747
17016423,DB00073,P02747
17139284,DB00074,P02747
17016423,DB00074,P02747
17139284,DB00075,P02747
17016423,DB00075,P02747
17139284,DB00078,P02747
17016423,DB00078,P02747
17139284,DB00081,P02747
17016423,DB00081,P02747
17139284,DB00087,P02747
17016423,DB00087,P02747
17139284,DB00092,P02747
17016423,DB00092,P02747
17139284,DB00095,P02747
17016423,DB00095,P02747
17139284,DB00108,P02747
17016423,DB00108,P02747
17139284,DB00110,P02747
17016423,DB00110,P02747
17139284,DB00111,P02747
17016423,DB00111,P02747
17139284,DB00112,P02747
17016423,DB00112,P02747
17139284,DB00002,P08637
17016423,DB00002,P08637
17704420,DB00002,P08637
15457442,DB00005,P08637
15526004,DB00005,P08637
17911465,DB00028,P08637
20441428,DB00028,P08637
17351760,DB00028,P08637
17139284,DB00051,P08637
17016423,DB00051,P08637
17139284,DB00054,P08637
17016423,DB00054,P08637
17139284,DB00056,P08637
17016423,DB00056,P08637
7509291,DB00056,P08637
17363544,DB00072,P08637
15448014,DB00073,P08637
17324336,DB00073,P08637
16609067,DB00073,P08637
17139284,DB00074,P08637
17016423,DB00074,P08637
17139284,DB00075,P08637
17016423,DB00075,P08637
17139284,DB00078,P08637
17016423,DB00078,P08637
17139284,DB00081,P08637
17016423,DB00081,P08637
